Kd-Nr;Firma;Ansprechpartner;E-Mail;Straße;PLZ;Ort;Land;Telefon;Zahlungsziel
151;Canardise SARL;Sandrine Plume;sandrine@canardise.example;10 Allée du Bord de l'Eau;06000;Nice;FR;+33 4 93 11 22 33;30 jours
152;Enten-Paradies e.V.;Udo Schnattern;udo@enten-paradies.example;Schilfweg 8;04109;Leipzig;DE;+49 341 555 6666;
153;The Duckling Co.;Emily Brookside;emily@theduckling.example;7 Millpond Close;OX1 2JD;Oxford;GB;+44 1865 111 222;30 days
154;Patos del Sur S.A.;Diego Pantano;diego@patosdelsur.example;Camino de la Laguna 5;1002;Buenos Aires;AR;+54 11 4444 5555;
155;Canard Atomique;Jean-Paul Réacteur;jeanpaul@canard-atomique.example;2 Impasse du Neutron;38000;Grenoble;FR;+33 4 76 11 22 33;
156;Kwakers Handel;Dirk Sloot;dirk@kwakers.example;Eendenpad 6;9700;Groningen;NL;+31 50 111 2233;
157;Duck Norris Exports;Chuck Webfoot;chuck@ducknorris.example;1 Roundhouse Lake;73301;Austin;US;+1 512-555-0404;net 30
158;Ochka Trading GmbH;Viktor Erpel;viktor@ochka.example;Entengraben 21;01067;Dresden;DE;+49 351 222 3344;45 Tage
159;Canard Sauvage Bio;Nathalie Prairie;nathalie@canard-sauvage.example;Ferme de l'Étang;49000;Angers;FR;+33 2 41 33 44 55;
160;Ducks Unlimited NZ;Hemi Roto;hemi@ducksunlimited.example;14 Rotorua Lake Drive;3010;Rotorua;NZ;+64 7 333 4455;
161;Anka Merkezi;Ayşe Gölet;ayse@ankamerkezi.example;Kuş Sokak 3;06100;Ankara;TR;+90 312 111 2233;
162;Papere Pazze S.r.l.;Marco Laghetto;marco@papeepazze.example;Corso del Fiume 9;10123;Torino;IT;+39 011 888 9900;30 giorni
163;Quack Labs Inc.;Sarah Innovator;sarah@quacklabs.example;1 Silicon Pond;95014;Cupertino;US;+1 408-555-0505;
164;Super Canard Express;Youssef Marais;youssef@super-canard.example;55 Rue des Roseaux;34000;Montpellier;FR;+33 4 67 22 33 44;30 jours
165;Eenden & Zo;Karen Watervogel;karen@eendenenzo.example;Meerstraat 14;2000;Antwerpen;BE;+32 3 222 3344;
166;Schnatterbox AG;Petra Kielschwanz;petra@schnatterbox.example;Schwimmstraße 5;60311;Frankfurt;DE;+49 69 111 2233;30 Tage
167;Badeand Import/Export ApS;Niels Gadegaard;niels@badeand.example;Svanestien 2;5000;Odense;DK;+45 66 11 22 33;
168;Quack & Cheese Deli;Martha Watercress;martha@quackcheese.example;The Old Mill;BA1 1SP;Bath;GB;+44 1225 555 666;
169;Pato Tech S.L.;Alicia Cuenca;alicia@patotech.example;Parque Tecnológico 8;46001;Valencia;ES;+34 96 333 4455;45 días
170;Lac des Canards SA;Pierre Barbotage;pierre@lac-canards.example;Route du Lac 1;1003;Lausanne;CH;+41 21 444 5566;60 jours
170b;Phantom Quackers;;oops;Spooky Lane 13;66666;Ghostville;NOPE;000;bald
170c;????? Ltd;Le Blanc;;1 Blank Road;00000;;Great Britain;;0.5
171;Flying Duck Solutions;Tom Wingspan;tom@flyingduck.example;22 Altitude Road;M1 1AA;Manchester;GB;+44 161 777 8899;
172;Утка-Матка ИП;Ольга Крякина;olga@utka-matka.example;пр. Лебедей 8;190000;Санкт-Петербург;RU;+7 812 555 6677;
173;Quacktopia Ventures;Alex Pondsworth;alex@quacktopia.example;1 Startup Pond;02139;Cambridge;US;+1 617-555-0606;net 45
174;Les Canards Électriques;Émile Voltplume;emile@canards-elec.example;7 Passage de la Dynamo;69003;Lyon;FR;+33 4 72 11 22 33;
175;Papero Rocket S.p.A.;Luca Razzo;luca@papero-rocket.example;Via Spaziale 1;80133;Napoli;IT;+39 081 222 3344;
176;Entensee Brauerei;Heinz Hopfenschwimmer;heinz@entensee.example;Bierweg 6;96047;Bamberg;DE;+49 951 666 7788;30 Tage
177;Kwek Kwek Corp;Rizal Danau;rizal@kwekkwek.example;Jl. Danau Indah 15;10110;Jakarta;ID;+62 21 8888 9999;
178;Duck Vader Enterprises;Luke Darkwing;luke@duckvader.example;Death Pond Station 1;90210;Los Angeles;US;+1 310-555-0707;
179;Palmipèdes Pro;Claire Ergot;claire@palmipedes.example;4 Parc Naturel;35000;Rennes;FR;+33 2 99 11 22 33;30 jours
180;Wilde Eend Logistics;Bas Moerasland;bas@wilde-eend.example;Veenweg 23;3500;Utrecht;NL;+31 30 222 3344;45 dagen
181;Quack Force One;General Mallard;general@quackforce.example;Area 51 Pond;89001;Las Vegas;US;+1 702-555-0808;
182;Ente mit Hut GmbH;Sebastian Zylinder;sebastian@ente-hut.example;Hutmacherstraße 11;90402;Nürnberg;DE;+49 911 333 4455;
183;Anatroccolo Veloce;Valentina Laghetto;valentina@anatroccolo.example;Via Rapida 6;40126;Bologna;IT;+39 051 444 5566;60 giorni
184;Duck la Duck SARL;Mathieu Ricochet;mathieu@duck-la-duck.example;1 Quai du Rebond;44000;Nantes;FR;+33 2 40 55 66 77;
185;Platypus & Duck Partners;Craig Billmore;craig@platypusduck.example;15 Outback Pond;3000;Melbourne;AU;+61 3 8888 9999;net 30
186;Kachní Let s.r.o.;Martin Křídlo;martin@kacni-let.example;Letištní 4;16000;Praha;CZ;+420 233 444 555;
187;Quack of Dawn;Sunrise Sally;sally@quackofdawn.example;1 Early Bird Lane;80202;Denver;US;+1 303-555-0909;
188;Entenschloss Verlag;Frieda Tinte;frieda@entenschloss.example;Federstraße 19;99084;Erfurt;DE;+49 361 222 3344;30 Tage
189;Super Pato Viajes;Rodrigo Ala;rodrigo@superpato.example;Gran Vía Voladora 12;41001;Sevilla;ES;+34 95 111 2233;
190;Canard Cosmique;Stella Nébuleuse;stella@canard-cosmique.example;Station Orbitale 9;31400;Toulouse;FR;+33 5 61 99 88 77;
191;Rubber Duck Fintech;Priya Poolside;priya@rubberduck.example;12 Tech Lagoon;560001;Bangalore;IN;+91 80 4444 5555;
192;Eend op Wielen;Roel Fiets;roel@eendopwielen.example;Fietsenpad 7;2500;Den Haag;NL;+31 70 333 4455;
193;Quackenomics Institute;Dr. Waddle Smith;waddle@quackenomics.example;2 Think Tank Pond;WC2B 4AP;London;GB;+44 20 8888 9999;
194;Die Flotte Ente;Karl Stromschnelle;karl@flotte-ente.example;Wildwasserweg 3;79098;Freiburg;DE;+49 761 555 6677;
195;Duck & Cover Security;James Pondsworth;james@duckcover.example;MI5 Lake House;SW1A 2AA;London;GB;+44 20 7007 7007;45 days
196;Canard Quantique SAS;Pascal Superposition;pascal@canard-quantique.example;Labo des Ondes 3;91120;Palaiseau;FR;+33 1 69 11 22 33;
197;Papera d'Oro;Sofia Scintilla;sofia@papera-doro.example;Vicolo Prezioso 4;50123;Firenze;IT;+39 055 666 7788;
198;Ducks on Ice Oy;Antti Jäätynyt;antti@ducksonice.example;Jääjärventie 5;00500;Helsinki;FI;+358 9 444 5566;
199;Quack Overflow;Dev Mallard;dev@quackoverflow.example;404 Stack Pond;98101;Seattle;US;+1 206-555-1010;net 30
199b;;;dev@quackoverflow.example;;;;US;;30
200;Le Dernier Canard;Maxime Rideau;maxime@dernier-canard.example;99 Impasse du Final;75020;Paris;FR;+33 1 44 55 66 77;30 jours
201;Enten-Blockchain AG;Satoshi Schnabel;satoshi@enten-blockchain.example;Kryptostraße 21;10178;Berlin;DE;+49 30 2121 2121;
202;Disco Duck Entertainment;Gloria Glitter;gloria@discoduck.example;77 Funk Pond;33101;Miami;US;+1 305-555-1111;
203;Canards Sans Frontières;Docteur Soigneur;doc@canards-sf.example;1 Rue de la Solidarité;75010;Paris;FR;+33 1 42 11 22 33;
204;Thunder Duck Racing;Bolt McQuacker;bolt@thunderduck.example;Pit Lane Pond 1;MK7 1BJ;Milton Keynes;GB;+44 1908 111 222;
